speed,object_distance,visibility,weather,sensor_delay,road_condition,result,stopping_distance,margin,effective_deceleration
40,5,Good,Rain,0.25,Dry,FAIL,16.906721536351164,-11.906721536351164,7.2
40,5,Good,Rain,0.25,Wet,FAIL,18.419672395707252,-13.419672395707252,6.12
40,5,Good,Rain,0.25,Slippery,FAIL,20.58103076621595,-15.58103076621595,5.04
40,5,Good,Fog,0,Dry,FAIL,14.633260711692083,-9.633260711692083,6.8
40,5,Good,Fog,0,Wet,FAIL,16.235208680422062,-11.235208680422062,5.779999999999999
40,5,Good,Fog,0,Slippery,FAIL,18.52370577860774,-13.523705778607741,4.76
40,5,Good,Fog,0.05,Dry,FAIL,15.188816267247638,-10.188816267247638,6.8
40,5,Good,Fog,0.05,Wet,FAIL,16.790764235977615,-11.790764235977615,5.779999999999999
40,5,Good,Fog,0.05,Slippery,FAIL,19.079261334163295,-14.079261334163295,4.76
40,5,Good,Fog,0.1,Dry,FAIL,15.744371822803194,-10.744371822803194,6.8
40,5,Good,Fog,0.1,Wet,FAIL,17.34631979153317,-12.346319791533169,5.779999999999999
40,5,Good,Fog,0.1,Slippery,FAIL,19.63481688971885,-14.634816889718849,4.76
40,5,Good,Fog,0.15,Dry,FAIL,16.29992737835875,-11.299927378358749,6.8
40,5,Good,Fog,0.15,Wet,FAIL,17.901875347088726,-12.901875347088726,5.779999999999999
40,5,Good,Fog,0.15,Slippery,FAIL,20.190372445274406,-15.190372445274406,4.76
40,5,Good,Fog,0.25,Dry,FAIL,17.41103848946986,-12.41103848946986,6.8
40,5,Good,Fog,0.25,Wet,FAIL,19.012986458199837,-14.012986458199837,5.779999999999999
40,5,Good,Fog,0.25,Slippery,FAIL,21.301483556385516,-16.301483556385516,4.76
40,5,Moderate,Clear,0,Dry,FAIL,14.382716049382715,-9.382716049382715,8.0
40,5,Moderate,Clear,0,Wet,FAIL,15.744371822803194,-10.744371822803194,6.8
40,5,Moderate,Clear,0,Slippery,FAIL,17.689594356261022,-12.689594356261022,5.6
40,5,Moderate,Clear,0.05,Dry,FAIL,14.938271604938272,-9.938271604938272,8.0
40,5,Moderate,Clear,0.05,Wet,FAIL,16.29992737835875,-11.299927378358749,6.8
40,5,Moderate,Clear,0.05,Slippery,FAIL,18.24514991181658,-13.24514991181658,5.6
40,5,Moderate,Clear,0.1,Dry,FAIL,15.493827160493826,-10.493827160493826,8.0
40,5,Moderate,Clear,0.1,Wet,FAIL,16.855482933914303,-11.855482933914303,6.8
40,5,Moderate,Clear,0.1,Slippery,FAIL,18.800705467372133,-13.800705467372133,5.6
40,5,Moderate,Clear,0.15,Dry,FAIL,16.04938271604938,-11.04938271604938,8.0
40,5,Moderate,Clear,0.15,Wet,FAIL,17.41103848946986,-12.41103848946986,6.8
40,5,Moderate,Clear,0.15,Slippery,FAIL,19.35626102292769,-14.35626102292769,5.6
40,5,Moderate,Clear,0.25,Dry,FAIL,17.160493827160494,-12.160493827160494,8.0
40,5,Moderate,Clear,0.25,Wet,FAIL,18.522149600580974,-13.522149600580974,6.8
40,5,Moderate,Clear,0.25,Slippery,FAIL,20.4673721340388,-15.4673721340388,5.6
40,5,Moderate,Rain,0,Dry,FAIL,15.240054869684498,-10.240054869684498,7.2
40,5,Moderate,Rain,0,Wet,FAIL,16.753005729040588,-11.753005729040588,6.12
40,5,Moderate,Rain,0,Slippery,FAIL,18.91436409954928,-13.914364099549282,5.04
40,5,Moderate,Rain,0.05,Dry,FAIL,15.795610425240053,-10.795610425240053,7.2
40,5,Moderate,Rain,0.05,Wet,FAIL,17.30856128459614,-12.308561284596141,6.12
40,5,Moderate,Rain,0.05,Slippery,FAIL,19.46991965510484,-14.469919655104839,5.04
40,5,Moderate,Rain,0.1,Dry,FAIL,16.351165980795606,-11.351165980795606,7.2
40,5,Moderate,Rain,0.1,Wet,FAIL,17.864116840151695,-12.864116840151695,6.12
40,5,Moderate,Rain,0.1,Slippery,FAIL,20.025475210660396,-15.025475210660396,5.04
40,5,Moderate,Rain,0.15,Dry,FAIL,16.906721536351164,-11.906721536351164,7.2
40,5,Moderate,Rain,0.15,Wet,FAIL,18.419672395707252,-13.419672395707252,6.12
40,5,Moderate,Rain,0.15,Slippery,FAIL,20.58103076621595,-15.58103076621595,5.04
40,5,Moderate,Rain,0.25,Dry,FAIL,18.017832647462278,-13.017832647462278,7.2
40,5,Moderate,Rain,0.25,Wet,FAIL,19.530783506818366,-14.530783506818366,6.12
40,5,Moderate,Rain,0.25,Slippery,FAIL,21.69214187732706,-16.69214187732706,5.04
40,5,Moderate,Fog,0,Dry,FAIL,15.744371822803194,-10.744371822803194,6.8
40,5,Moderate,Fog,0,Wet,FAIL,17.34631979153317,-12.346319791533169,5.779999999999999
40,5,Moderate,Fog,0,Slippery,FAIL,19.63481688971885,-14.634816889718849,4.76
40,5,Moderate,Fog,0.05,Dry,FAIL,16.29992737835875,-11.299927378358749,6.8
40,5,Moderate,Fog,0.05,Wet,FAIL,17.901875347088726,-12.901875347088726,5.779999999999999
40,5,Moderate,Fog,0.05,Slippery,FAIL,20.190372445274406,-15.190372445274406,4.76
40,5,Moderate,Fog,0.1,Dry,FAIL,16.855482933914303,-11.855482933914303,6.8
40,5,Moderate,Fog,0.1,Wet,FAIL,18.457430902644283,-13.457430902644283,5.779999999999999
40,5,Moderate,Fog,0.1,Slippery,FAIL,20.745928000829963,-15.745928000829963,4.76
40,5,Moderate,Fog,0.15,Dry,FAIL,17.41103848946986,-12.41103848946986,6.8
40,5,Moderate,Fog,0.15,Wet,FAIL,19.012986458199837,-14.012986458199837,5.779999999999999
40,5,Moderate,Fog,0.15,Slippery,FAIL,21.301483556385516,-16.301483556385516,4.76
40,5,Moderate,Fog,0.25,Dry,FAIL,18.522149600580974,-13.522149600580974,6.8
40,5,Moderate,Fog,0.25,Wet,FAIL,20.124097569310948,-15.124097569310948,5.779999999999999
40,5,Moderate,Fog,0.25,Slippery,FAIL,22.412594667496627,-17.412594667496627,4.76
40,5,Poor,Clear,0,Dry,FAIL,15.493827160493826,-10.493827160493826,8.0
40,5,Poor,Clear,0,Wet,FAIL,16.855482933914303,-11.855482933914303,6.8
40,5,Poor,Clear,0,Slippery,FAIL,18.800705467372133,-13.800705467372133,5.6
40,5,Poor,Clear,0.05,Dry,FAIL,16.04938271604938,-11.04938271604938,8.0
40,5,Poor,Clear,0.05,Wet,FAIL,17.41103848946986,-12.41103848946986,6.8
40,5,Poor,Clear,0.05,Slippery,FAIL,19.35626102292769,-14.35626102292769,5.6
40,5,Poor,Clear,0.1,Dry,FAIL,16.604938271604937,-11.604938271604937,8.0
40,5,Poor,Clear,0.1,Wet,FAIL,17.966594045025417,-12.966594045025417,6.8
40,5,Poor,Clear,0.1,Slippery,FAIL,19.911816578483247,-14.911816578483247,5.6
40,5,Poor,Clear,0.15,Dry,FAIL,17.160493827160494,-12.160493827160494,8.0
40,5,Poor,Clear,0.15,Wet,FAIL,18.522149600580974,-13.522149600580974,6.8
40,5,Poor,Clear,0.15,Slippery,FAIL,20.4673721340388,-15.4673721340388,5.6
40,5,Poor,Clear,0.25,Dry,FAIL,18.271604938271604,-13.271604938271604,8.0
40,5,Poor,Clear,0.25,Wet,FAIL,19.63326071169208,-14.633260711692081,6.8
40,5,Poor,Clear,0.25,Slippery,FAIL,21.57848324514991,-16.57848324514991,5.6
40,5,Poor,Rain,0,Dry,FAIL,16.351165980795606,-11.351165980795606,7.2
40,5,Poor,Rain,0,Wet,FAIL,17.864116840151695,-12.864116840151695,6.12
40,5,Poor,Rain,0,Slippery,FAIL,20.025475210660396,-15.025475210660396,5.04
40,5,Poor,Rain,0.05,Dry,FAIL,16.906721536351164,-11.906721536351164,7.2
40,5,Poor,Rain,0.05,Wet,FAIL,18.419672395707252,-13.419672395707252,6.12
40,5,Poor,Rain,0.05,Slippery,FAIL,20.58103076621595,-15.58103076621595,5.04
40,5,Poor,Rain,0.1,Dry,FAIL,17.46227709190672,-12.46227709190672,7.2
40,5,Poor,Rain,0.1,Wet,FAIL,18.97522795126281,-13.97522795126281,6.12
40,5,Poor,Rain,0.1,Slippery,FAIL,21.136586321771507,-16.136586321771507,5.04
40,5,Poor,Rain,0.15,Dry,FAIL,18.017832647462278,-13.017832647462278,7.2
40,5,Poor,Rain,0.15,Wet,FAIL,19.530783506818366,-14.530783506818366,6.12
40,5,Poor,Rain,0.15,Slippery,FAIL,21.69214187732706,-16.69214187732706,5.04
40,5,Poor,Rain,0.25,Dry,FAIL,19.128943758573385,-14.128943758573385,7.2
40,5,Poor,Rain,0.25,Wet,FAIL,20.641894617929474,-15.641894617929474,6.12
40,5,Poor,Rain,0.25,Slippery,FAIL,22.803252988438174,-17.803252988438174,5.04
40,5,Poor,Fog,0,Dry,FAIL,16.855482933914303,-11.855482933914303,6.8
40,5,Poor,Fog,0,Wet,FAIL,18.457430902644283,-13.457430902644283,5.779999999999999
40,5,Poor,Fog,0,Slippery,FAIL,20.745928000829963,-15.745928000829963,4.76
40,5,Poor,Fog,0.05,Dry,FAIL,17.41103848946986,-12.41103848946986,6.8
40,5,Poor,Fog,0.05,Wet,FAIL,19.012986458199837,-14.012986458199837,5.779999999999999
40,5,Poor,Fog,0.05,Slippery,FAIL,21.301483556385516,-16.301483556385516,4.76
40,5,Poor,Fog,0.1,Dry,FAIL,17.966594045025417,-12.966594045025417,6.8
40,5,Poor,Fog,0.1,Wet,FAIL,19.568542013755394,-14.568542013755394,5.779999999999999
40,5,Poor,Fog,0.1,Slippery,FAIL,21.857039111941074,-16.857039111941074,4.76
40,5,Poor,Fog,0.15,Dry,FAIL,18.522149600580974,-13.522149600580974,6.8
40,5,Poor,Fog,0.15,Wet,FAIL,20.124097569310948,-15.124097569310948,5.779999999999999
40,5,Poor,Fog,0.15,Slippery,FAIL,22.412594667496627,-17.412594667496627,4.76
40,5,Poor,Fog,0.25,Dry,FAIL,19.63326071169208,-14.633260711692081,6.8
40,5,Poor,Fog,0.25,Wet,FAIL,21.235208680422062,-16.235208680422062,5.779999999999999
40,5,Poor,Fog,0.25,Slippery,FAIL,23.52370577860774,-18.52370577860774,4.76
40,10,Good,Clear,0,Dry,FAIL,13.271604938271604,-3.2716049382716044,8.0
40,10,Good,Clear,0,Wet,FAIL,14.633260711692083,-4.633260711692083,6.8
40,10,Good,Clear,0,Slippery,FAIL,16.57848324514991,-6.578483245149911,5.6
40,10,Good,Clear,0.05,Dry,FAIL,13.827160493827162,-3.8271604938271615,8.0
40,10,Good,Clear,0.05,Wet,FAIL,15.188816267247638,-5.188816267247638,6.8
40,10,Good,Clear,0.05,Slippery,FAIL,17.13403880070547,-7.1340388007054685,5.6
40,10,Good,Clear,0.1,Dry,FAIL,14.382716049382715,-4.382716049382715,8.0
40,10,Good,Clear,0.1,Wet,FAIL,15.744371822803194,-5.744371822803194,6.8
40,10,Good,Clear,0.1,Slippery,FAIL,17.689594356261022,-7.689594356261022,5.6
40,10,Good,Clear,0.15,Dry,FAIL,14.938271604938272,-4.938271604938272,8.0
40,10,Good,Clear,0.15,Wet,FAIL,16.29992737835875,-6.299927378358749,6.8
40,10,Good,Clear,0.15,Slippery,FAIL,18.24514991181658,-8.24514991181658,5.6
40,10,Good,Clear,0.25,Dry,FAIL,16.04938271604938,-6.049382716049379,8.0
40,10,Good,Clear,0.25,Wet,FAIL,17.41103848946986,-7.41103848946986,6.8
40,10,Good,Clear,0.25,Slippery,FAIL,19.35626102292769,-9.35626102292769,5.6
40,10,Good,Rain,0,Dry,FAIL,14.128943758573387,-4.128943758573387,7.2
40,10,Good,Rain,0,Wet,FAIL,15.641894617929475,-5.641894617929475,6.12
40,10,Good,Rain,0,Slippery,FAIL,17.803252988438174,-7.8032529884381745,5.04
40,10,Good,Rain,0.05,Dry,FAIL,14.684499314128942,-4.684499314128942,7.2
40,10,Good,Rain,0.05,Wet,FAIL,16.19745017348503,-6.197450173485031,6.12
40,10,Good,Rain,0.05,Slippery,FAIL,18.358808543993728,-8.358808543993728,5.04
40,10,Good,Rain,0.1,Dry,FAIL,15.240054869684498,-5.2400548696844975,7.2
40,10,Good,Rain,0.1,Wet,FAIL,16.753005729040588,-6.753005729040588,6.12
40,10,Good,Rain,0.1,Slippery,FAIL,18.91436409954928,-8.914364099549282,5.04
40,10,Good,Rain,0.15,Dry,FAIL,15.795610425240053,-5.795610425240053,7.2
40,10,Good,Rain,0.15,Wet,FAIL,17.30856128459614,-7.308561284596141,6.12
40,10,Good,Rain,0.15,Slippery,FAIL,19.46991965510484,-9.469919655104839,5.04
40,10,Good,Rain,0.25,Dry,FAIL,16.906721536351164,-6.906721536351164,7.2
40,10,Good,Rain,0.25,Wet,FAIL,18.419672395707252,-8.419672395707252,6.12
40,10,Good,Rain,0.25,Slippery,FAIL,20.58103076621595,-10.58103076621595,5.04
40,10,Good,Fog,0,Dry,FAIL,14.633260711692083,-4.633260711692083,6.8
40,10,Good,Fog,0,Wet,FAIL,16.235208680422062,-6.235208680422062,5.779999999999999
40,10,Good,Fog,0,Slippery,FAIL,18.52370577860774,-8.523705778607741,4.76
40,10,Good,Fog,0.05,Dry,FAIL,15.188816267247638,-5.188816267247638,6.8
40,10,Good,Fog,0.05,Wet,FAIL,16.790764235977615,-6.7907642359776155,5.779999999999999
40,10,Good,Fog,0.05,Slippery,FAIL,19.079261334163295,-9.079261334163295,4.76
40,10,Good,Fog,0.1,Dry,FAIL,15.744371822803194,-5.744371822803194,6.8
40,10,Good,Fog,0.1,Wet,FAIL,17.34631979153317,-7.346319791533169,5.779999999999999
40,10,Good,Fog,0.1,Slippery,FAIL,19.63481688971885,-9.634816889718849,4.76
40,10,Good,Fog,0.15,Dry,FAIL,16.29992737835875,-6.299927378358749,6.8
40,10,Good,Fog,0.15,Wet,FAIL,17.901875347088726,-7.901875347088726,5.779999999999999
40,10,Good,Fog,0.15,Slippery,FAIL,20.190372445274406,-10.190372445274406,4.76
40,10,Good,Fog,0.25,Dry,FAIL,17.41103848946986,-7.41103848946986,6.8
40,10,Good,Fog,0.25,Wet,FAIL,19.012986458199837,-9.012986458199837,5.779999999999999
40,10,Good,Fog,0.25,Slippery,FAIL,21.301483556385516,-11.301483556385516,4.76
40,10,Moderate,Clear,0,Dry,FAIL,14.382716049382715,-4.382716049382715,8.0
40,10,Moderate,Clear,0,Wet,FAIL,15.744371822803194,-5.744371822803194,6.8
40,10,Moderate,Clear,0,Slippery,FAIL,17.689594356261022,-7.689594356261022,5.6
40,10,Moderate,Clear,0.05,Dry,FAIL,14.938271604938272,-4.938271604938272,8.0
40,10,Moderate,Clear,0.05,Wet,FAIL,16.29992737835875,-6.299927378358749,6.8
40,10,Moderate,Clear,0.05,Slippery,FAIL,18.24514991181658,-8.24514991181658,5.6
40,10,Moderate,Clear,0.1,Dry,FAIL,15.493827160493826,-5.493827160493826,8.0
40,10,Moderate,Clear,0.1,Wet,FAIL,16.855482933914303,-6.855482933914303,6.8
40,10,Moderate,Clear,0.1,Slippery,FAIL,18.800705467372133,-8.800705467372133,5.6
40,10,Moderate,Clear,0.15,Dry,FAIL,16.04938271604938,-6.049382716049379,8.0
40,10,Moderate,Clear,0.15,Wet,FAIL,17.41103848946986,-7.41103848946986,6.8
40,10,Moderate,Clear,0.15,Slippery,FAIL,19.35626102292769,-9.35626102292769,5.6
40,10,Moderate,Clear,0.25,Dry,FAIL,17.160493827160494,-7.160493827160494,8.0
40,10,Moderate,Clear,0.25,Wet,FAIL,18.522149600580974,-8.522149600580974,6.8
40,10,Moderate,Clear,0.25,Slippery,FAIL,20.4673721340388,-10.4673721340388,5.6
40,10,Moderate,Rain,0,Dry,FAIL,15.240054869684498,-5.2400548696844975,7.2
40,10,Moderate,Rain,0,Wet,FAIL,16.753005729040588,-6.753005729040588,6.12
40,10,Moderate,Rain,0,Slippery,FAIL,18.91436409954928,-8.914364099549282,5.04
40,10,Moderate,Rain,0.05,Dry,FAIL,15.795610425240053,-5.795610425240053,7.2
40,10,Moderate,Rain,0.05,Wet,FAIL,17.30856128459614,-7.308561284596141,6.12
40,10,Moderate,Rain,0.05,Slippery,FAIL,19.46991965510484,-9.469919655104839,5.04
40,10,Moderate,Rain,0.1,Dry,FAIL,16.351165980795606,-6.3511659807956065,7.2
40,10,Moderate,Rain,0.1,Wet,FAIL,17.864116840151695,-7.864116840151695,6.12
40,10,Moderate,Rain,0.1,Slippery,FAIL,20.025475210660396,-10.025475210660396,5.04
40,10,Moderate,Rain,0.15,Dry,FAIL,16.906721536351164,-6.906721536351164,7.2
40,10,Moderate,Rain,0.15,Wet,FAIL,18.419672395707252,-8.419672395707252,6.12
40,10,Moderate,Rain,0.15,Slippery,FAIL,20.58103076621595,-10.58103076621595,5.04
40,10,Moderate,Rain,0.25,Dry,FAIL,18.017832647462278,-8.017832647462278,7.2
40,10,Moderate,Rain,0.25,Wet,FAIL,19.530783506818366,-9.530783506818366,6.12
40,10,Moderate,Rain,0.25,Slippery,FAIL,21.69214187732706,-11.69214187732706,5.04
40,10,Moderate,Fog,0,Dry,FAIL,15.744371822803194,-5.744371822803194,6.8
40,10,Moderate,Fog,0,Wet,FAIL,17.34631979153317,-7.346319791533169,5.779999999999999
40,10,Moderate,Fog,0,Slippery,FAIL,19.63481688971885,-9.634816889718849,4.76
40,10,Moderate,Fog,0.05,Dry,FAIL,16.29992737835875,-6.299927378358749,6.8
40,10,Moderate,Fog,0.05,Wet,FAIL,17.901875347088726,-7.901875347088726,5.779999999999999
40,10,Moderate,Fog,0.05,Slippery,FAIL,20.190372445274406,-10.190372445274406,4.76
40,10,Moderate,Fog,0.1,Dry,FAIL,16.855482933914303,-6.855482933914303,6.8
40,10,Moderate,Fog,0.1,Wet,FAIL,18.457430902644283,-8.457430902644283,5.779999999999999
40,10,Moderate,Fog,0.1,Slippery,FAIL,20.745928000829963,-10.745928000829963,4.76
40,10,Moderate,Fog,0.15,Dry,FAIL,17.41103848946986,-7.41103848946986,6.8
40,10,Moderate,Fog,0.15,Wet,FAIL,19.012986458199837,-9.012986458199837,5.779999999999999
40,10,Moderate,Fog,0.15,Slippery,FAIL,21.301483556385516,-11.301483556385516,4.76
40,10,Moderate,Fog,0.25,Dry,FAIL,18.522149600580974,-8.522149600580974,6.8
40,10,Moderate,Fog,0.25,Wet,FAIL,20.124097569310948,-10.124097569310948,5.779999999999999
40,10,Moderate,Fog,0.25,Slippery,FAIL,22.412594667496627,-12.412594667496627,4.76
40,10,Poor,Clear,0,Dry,FAIL,15.493827160493826,-5.493827160493826,8.0
40,10,Poor,Clear,0,Wet,FAIL,16.855482933914303,-6.855482933914303,6.8
40,10,Poor,Clear,0,Slippery,FAIL,18.800705467372133,-8.800705467372133,5.6
40,10,Poor,Clear,0.05,Dry,FAIL,16.04938271604938,-6.049382716049379,8.0
40,10,Poor,Clear,0.05,Wet,FAIL,17.41103848946986,-7.41103848946986,6.8
40,10,Poor,Clear,0.05,Slippery,FAIL,19.35626102292769,-9.35626102292769,5.6
40,10,Poor,Clear,0.1,Dry,FAIL,16.604938271604937,-6.6049382716049365,8.0
40,10,Poor,Clear,0.1,Wet,FAIL,17.966594045025417,-7.966594045025417,6.8
40,10,Poor,Clear,0.1,Slippery,FAIL,19.911816578483247,-9.911816578483247,5.6
40,10,Poor,Clear,0.15,Dry,FAIL,17.160493827160494,-7.160493827160494,8.0
40,10,Poor,Clear,0.15,Wet,FAIL,18.522149600580974,-8.522149600580974,6.8
40,10,Poor,Clear,0.15,Slippery,FAIL,20.4673721340388,-10.4673721340388,5.6
40,10,Poor,Clear,0.25,Dry,FAIL,18.271604938271604,-8.271604938271604,8.0
40,10,Poor,Clear,0.25,Wet,FAIL,19.63326071169208,-9.633260711692081,6.8
40,10,Poor,Clear,0.25,Slippery,FAIL,21.57848324514991,-11.578483245149911,5.6
40,10,Poor,Rain,0,Dry,FAIL,16.351165980795606,-6.3511659807956065,7.2
40,10,Poor,Rain,0,Wet,FAIL,17.864116840151695,-7.864116840151695,6.12
40,10,Poor,Rain,0,Slippery,FAIL,20.025475210660396,-10.025475210660396,5.04
40,10,Poor,Rain,0.05,Dry,FAIL,16.906721536351164,-6.906721536351164,7.2
40,10,Poor,Rain,0.05,Wet,FAIL,18.419672395707252,-8.419672395707252,6.12
40,10,Poor,Rain,0.05,Slippery,FAIL,20.58103076621595,-10.58103076621595,5.04
40,10,Poor,Rain,0.1,Dry,FAIL,17.46227709190672,-7.462277091906721,7.2
40,10,Poor,Rain,0.1,Wet,FAIL,18.97522795126281,-8.97522795126281,6.12
40,10,Poor,Rain,0.1,Slippery,FAIL,21.136586321771507,-11.136586321771507,5.04
40,10,Poor,Rain,0.15,Dry,FAIL,18.017832647462278,-8.017832647462278,7.2
40,10,Poor,Rain,0.15,Wet,FAIL,19.530783506818366,-9.530783506818366,6.12
40,10,Poor,Rain,0.15,Slippery,FAIL,21.69214187732706,-11.69214187732706,5.04
40,10,Poor,Rain,0.25,Dry,FAIL,19.128943758573385,-9.128943758573385,7.2
40,10,Poor,Rain,0.25,Wet,FAIL,20.641894617929474,-10.641894617929474,6.12
40,10,Poor,Rain,0.25,Slippery,FAIL,22.803252988438174,-12.803252988438174,5.04
40,10,Poor,Fog,0,Dry,FAIL,16.855482933914303,-6.855482933914303,6.8
40,10,Poor,Fog,0,Wet,FAIL,18.457430902644283,-8.457430902644283,5.779999999999999
40,10,Poor,Fog,0,Slippery,FAIL,20.745928000829963,-10.745928000829963,4.76
40,10,Poor,Fog,0.05,Dry,FAIL,17.41103848946986,-7.41103848946986,6.8
40,10,Poor,Fog,0.05,Wet,FAIL,19.012986458199837,-9.012986458199837,5.779999999999999
40,10,Poor,Fog,0.05,Slippery,FAIL,21.301483556385516,-11.301483556385516,4.76
40,10,Poor,Fog,0.1,Dry,FAIL,17.966594045025417,-7.966594045025417,6.8
40,10,Poor,Fog,0.1,Wet,FAIL,19.568542013755394,-9.568542013755394,5.779999999999999
40,10,Poor,Fog,0.1,Slippery,FAIL,21.857039111941074,-11.857039111941074,4.76
40,10,Poor,Fog,0.15,Dry,FAIL,18.522149600580974,-8.522149600580974,6.8
40,10,Poor,Fog,0.15,Wet,FAIL,20.124097569310948,-10.124097569310948,5.779999999999999
40,10,Poor,Fog,0.15,Slippery,FAIL,22.412594667496627,-12.412594667496627,4.76
40,10,Poor,Fog,0.25,Dry,FAIL,19.63326071169208,-9.633260711692081,6.8
40,10,Poor,Fog,0.25,Wet,FAIL,21.235208680422062,-11.235208680422062,5.779999999999999
40,10,Poor,Fog,0.25,Slippery,FAIL,23.52370577860774,-13.523705778607741,4.76
40,15,Good,Clear,0,Dry,PASS,13.271604938271604,1.7283950617283956,8.0
40,15,Good,Clear,0,Wet,PASS,14.633260711692083,0.366739288307917,6.8
40,15,Good,Clear,0,Slippery,FAIL,16.57848324514991,-1.5784832451499113,5.6
40,15,Good,Clear,0.05,Dry,PASS,13.827160493827162,1.1728395061728385,8.0
40,15,Good,Clear,0.05,Wet,FAIL,15.188816267247638,-0.18881626724763834,6.8
40,15,Good,Clear,0.05,Slippery,FAIL,17.13403880070547,-2.1340388007054685,5.6
40,15,Good,Clear,0.1,Dry,PASS,14.382716049382715,0.6172839506172849,8.0
40,15,Good,Clear,0.1,Wet,FAIL,15.744371822803194,-0.7443718228031937,6.8
40,15,Good,Clear,0.1,Slippery,FAIL,17.689594356261022,-2.689594356261022,5.6
40,15,Good,Clear,0.15,Dry,PASS,14.938271604938272,0.06172839506172778,8.0
40,15,Good,Clear,0.15,Wet,FAIL,16.29992737835875,-1.299927378358749,6.8
40,15,Good,Clear,0.15,Slippery,FAIL,18.24514991181658,-3.245149911816579,5.6
40,15,Good,Clear,0.25,Dry,FAIL,16.04938271604938,-1.0493827160493794,8.0
40,15,Good,Clear,0.25,Wet,FAIL,17.41103848946986,-2.4110384894698598,6.8
40,15,Good,Clear,0.25,Slippery,FAIL,19.35626102292769,-4.35626102292769,5.6
40,15,Good,Rain,0,Dry,PASS,14.128943758573387,0.8710562414266132,7.2
40,15,Good,Rain,0,Wet,FAIL,15.641894617929475,-0.6418946179294753,6.12
40,15,Good,Rain,0,Slippery,FAIL,17.803252988438174,-2.8032529884381745,5.04
40,15,Good,Rain,0.05,Dry,PASS,14.684499314128942,0.31550068587105784,7.2
40,15,Good,Rain,0.05,Wet,FAIL,16.19745017348503,-1.1974501734850307,6.12
40,15,Good,Rain,0.05,Slippery,FAIL,18.358808543993728,-3.358808543993728,5.04
40,15,Good,Rain,0.1,Dry,FAIL,15.240054869684498,-0.24005486968449752,7.2
40,15,Good,Rain,0.1,Wet,FAIL,16.753005729040588,-1.7530057290405878,6.12
40,15,Good,Rain,0.1,Slippery,FAIL,18.91436409954928,-3.9143640995492817,5.04
40,15,Good,Rain,0.15,Dry,FAIL,15.795610425240053,-0.7956104252400529,7.2
40,15,Good,Rain,0.15,Wet,FAIL,17.30856128459614,-2.3085612845961414,6.12
40,15,Good,Rain,0.15,Slippery,FAIL,19.46991965510484,-4.469919655104839,5.04
40,15,Good,Rain,0.25,Dry,FAIL,16.906721536351164,-1.9067215363511636,7.2
40,15,Good,Rain,0.25,Wet,FAIL,18.419672395707252,-3.419672395707252,6.12
40,15,Good,Rain,0.25,Slippery,FAIL,20.58103076621595,-5.5810307662159495,5.04
