speed,object_distance,visibility,weather,sensor_delay,road_condition,result,stopping_distance,margin,effective_deceleration,failure_probability,predicted_result
120,10,Poor,Fog,0.15,Slippery,FAIL,145.046685340803,-135.046685340803,4.76,0.9938105304447908,FAIL
80,10,Poor,Fog,0.0,Slippery,FAIL,67.4281564477643,-57.428156447764295,4.76,0.9938064624182559,FAIL
120,10,Poor,Fog,0.0,Slippery,FAIL,140.046685340803,-130.046685340803,4.76,0.9938064624182559,FAIL
100,10,Poor,Fog,0.0,Slippery,FAIL,100.4953833385206,-90.4953833385206,4.76,0.9938064624182559,FAIL
100,5,Poor,Rain,0.1,Slippery,FAIL,98.7703311777386,-93.7703311777386,5.04,0.9937784355796884,FAIL
120,5,Poor,Rain,0.1,Slippery,FAIL,136.89594356261026,-131.89594356261026,5.04,0.9937784355796884,FAIL
100,10,Poor,Rain,0.1,Slippery,FAIL,98.7703311777386,-88.7703311777386,5.04,0.993772929506951,FAIL
120,10,Poor,Rain,0.1,Slippery,FAIL,136.89594356261026,-126.89594356261026,5.04,0.993772929506951,FAIL
80,5,Poor,Rain,0.1,Slippery,FAIL,66.76856750930824,-61.76856750930824,5.04,0.9937586433181778,FAIL
80,10,Poor,Rain,0.1,Slippery,FAIL,66.76856750930824,-56.76856750930824,5.04,0.9937531372454401,FAIL
100,5,Poor,Rain,0.05,Slippery,FAIL,97.38144228884973,-92.38144228884973,5.04,0.9937349038458446,FAIL
120,5,Poor,Rain,0.05,Slippery,FAIL,135.2292768959436,-130.2292768959436,5.04,0.9937349038458446,FAIL
80,5,Poor,Rain,0.05,Slippery,FAIL,65.65745639819713,-60.65745639819713,5.04,0.9937349038458446,FAIL
100,10,Poor,Rain,0.05,Slippery,FAIL,97.38144228884973,-87.38144228884971,5.04,0.9937297503972362,FAIL
120,10,Poor,Rain,0.05,Slippery,FAIL,135.2292768959436,-125.2292768959436,5.04,0.9937297503972362,FAIL
60,5,Poor,Fog,0.05,Slippery,FAIL,41.67833800186742,-36.67833800186742,4.76,0.993711413818177,FAIL
60,10,Poor,Fog,0.05,Slippery,FAIL,41.67833800186742,-31.678338001867417,4.76,0.9937056620564361,FAIL
60,5,Poor,Fog,0.1,Slippery,FAIL,42.51167133520076,-37.51167133520076,4.76,0.993700844728249,FAIL
120,5,Poor,Rain,0.15,Slippery,FAIL,138.5626102292769,-133.5626102292769,5.04,0.9936751758817076,FAIL
100,5,Poor,Rain,0.15,Slippery,FAIL,100.15922006662748,-95.15922006662748,5.04,0.9936751758817076,FAIL
100,10,Poor,Rain,0.15,Slippery,FAIL,100.15922006662748,-90.15922006662748,5.04,0.9936695573236367,FAIL
120,10,Poor,Rain,0.15,Slippery,FAIL,138.5626102292769,-128.5626102292769,5.04,0.9936695573236367,FAIL
60,5,Poor,Fog,0.15,Slippery,FAIL,43.34500466853409,-38.34500466853409,4.76,0.993659239128819,FAIL
80,5,Poor,Rain,0.15,Slippery,FAIL,67.87967862041936,-62.87967862041936,5.04,0.9936555141820932,FAIL
60,10,Poor,Fog,0.15,Slippery,FAIL,43.34500466853409,-33.34500466853409,4.76,0.9936537520094669,FAIL
80,10,Poor,Rain,0.15,Slippery,FAIL,67.87967862041936,-57.87967862041936,5.04,0.9936498956240222,FAIL
100,15,Poor,Fog,0.15,Slippery,FAIL,104.66205000518728,-89.66205000518727,4.76,0.9936338204114611,FAIL
120,15,Poor,Fog,0.15,Slippery,FAIL,145.046685340803,-130.046685340803,4.76,0.9936338204114611,FAIL
120,15,Poor,Rain,0.1,Slippery,FAIL,136.89594356261026,-121.89594356261026,5.04,0.9936316190384076,FAIL
100,15,Poor,Rain,0.1,Slippery,FAIL,98.7703311777386,-83.7703311777386,5.04,0.9936316190384076,FAIL
80,15,Poor,Fog,0.15,Slippery,FAIL,70.76148978109762,-55.76148978109762,4.76,0.9936242065086167,FAIL
120,15,Poor,Fog,0.1,Slippery,FAIL,143.38001867413635,-128.38001867413635,4.76,0.9936152655741962,FAIL
80,15,Poor,Fog,0.1,Slippery,FAIL,69.65037866998651,-54.65037866998651,4.76,0.9936152655741962,FAIL
100,15,Poor,Fog,0.1,Slippery,FAIL,103.27316111629838,-88.27316111629838,4.76,0.9936152655741962,FAIL
120,10,Moderate,Fog,0.15,Slippery,FAIL,141.71335200746967,-131.71335200746967,4.76,0.9936094025199921,FAIL
100,10,Moderate,Fog,0.15,Slippery,FAIL,101.8842722274095,-91.8842722274095,4.76,0.9936094025199921,FAIL
100,5,Moderate,Fog,0.15,Slippery,FAIL,101.8842722274095,-96.8842722274095,4.76,0.9936094025199921,FAIL
80,10,Moderate,Fog,0.15,Slippery,FAIL,68.5392675588754,-58.5392675588754,4.76,0.9936094025199921,FAIL
120,5,Moderate,Fog,0.15,Slippery,FAIL,141.71335200746967,-136.71335200746967,4.76,0.9936094025199921,FAIL
80,5,Moderate,Fog,0.15,Slippery,FAIL,68.5392675588754,-63.5392675588754,4.76,0.9936094025199921,FAIL
120,15,Poor,Rain,0.15,Slippery,FAIL,138.5626102292769,-123.56261022927691,5.04,0.993572630453302,FAIL
100,15,Poor,Rain,0.15,Slippery,FAIL,100.15922006662748,-85.15922006662748,5.04,0.993572630453302,FAIL
80,15,Poor,Rain,0.15,Slippery,FAIL,67.87967862041936,-52.87967862041936,5.04,0.9935527221410154,FAIL
120,5,Good,Rain,0.1,Wet,FAIL,110.7770515613653,-105.7770515613653,6.12,0.9934720818445374,FAIL
80,15,Poor,Fog,0.05,Slippery,FAIL,68.5392675588754,-53.5392675588754,4.76,0.9934698496195979,FAIL
100,15,Poor,Fog,0.05,Slippery,FAIL,101.8842722274095,-86.8842722274095,4.76,0.9934698496195979,FAIL
120,15,Poor,Fog,0.05,Slippery,FAIL,141.71335200746967,-126.71335200746968,4.76,0.9934698496195979,FAIL
100,5,Good,Rain,0.1,Wet,FAIL,79.70628580650367,-74.70628580650367,6.12,0.9934414012287748,FAIL
80,5,Poor,Rain,0.0,Slippery,FAIL,64.54634528708603,-59.54634528708603,5.04,0.9934410569453241,FAIL
120,5,Poor,Rain,0.0,Slippery,FAIL,133.5626102292769,-128.5626102292769,5.04,0.9934410569453241,FAIL
100,5,Poor,Rain,0.0,Slippery,FAIL,95.9925533999608,-90.9925533999608,5.04,0.9934410569453241,FAIL
120,15,Moderate,Fog,0.15,Slippery,FAIL,141.71335200746967,-126.71335200746968,4.76,0.9934402466756233,FAIL
100,15,Moderate,Fog,0.15,Slippery,FAIL,101.8842722274095,-86.8842722274095,4.76,0.9934402466756233,FAIL
120,10,Poor,Rain,0.0,Slippery,FAIL,133.5626102292769,-123.56261022927691,5.04,0.993435558921243,FAIL
80,10,Poor,Rain,0.0,Slippery,FAIL,64.54634528708603,-54.54634528708603,5.04,0.993435558921243,FAIL
80,15,Moderate,Fog,0.15,Slippery,FAIL,68.5392675588754,-53.5392675588754,4.76,0.9934297815008343,FAIL
120,5,Poor,Fog,0.25,Slippery,FAIL,148.38001867413635,-143.38001867413635,4.76,0.9934112219650073,FAIL
80,5,Poor,Fog,0.25,Slippery,FAIL,72.98371200331985,-67.98371200331985,4.76,0.9934112219650073,FAIL
100,5,Poor,Fog,0.25,Slippery,FAIL,107.43982778296504,-102.43982778296504,4.76,0.9934112219650073,FAIL
100,10,Good,Rain,0.1,Wet,FAIL,79.70628580650367,-69.70628580650367,6.12,0.9934109037929139,FAIL
100,10,Poor,Fog,0.25,Slippery,FAIL,107.43982778296504,-97.43982778296504,4.76,0.9934057952829922,FAIL
80,10,Poor,Fog,0.25,Slippery,FAIL,72.98371200331985,-62.98371200331985,4.76,0.9934057952829922,FAIL
120,10,Poor,Fog,0.25,Slippery,FAIL,148.38001867413635,-138.38001867413635,4.76,0.9934057952829922,FAIL
60,15,Poor,Fog,0.15,Slippery,FAIL,43.34500466853409,-28.345004668534088,4.76,0.9933405607420545,FAIL
120,10,Moderate,Fog,0.1,Slippery,FAIL,140.046685340803,-130.046685340803,4.76,0.9933376810127588,FAIL
80,10,Moderate,Fog,0.1,Slippery,FAIL,67.4281564477643,-57.428156447764295,4.76,0.9933376810127588,FAIL
100,10,Moderate,Fog,0.1,Slippery,FAIL,100.4953833385206,-90.4953833385206,4.76,0.9933376810127588,FAIL
120,5,Moderate,Fog,0.1,Slippery,FAIL,140.046685340803,-135.046685340803,4.76,0.9933376810127588,FAIL
100,5,Moderate,Fog,0.1,Slippery,FAIL,100.4953833385206,-95.4953833385206,4.76,0.9933376810127588,FAIL
120,5,Moderate,Clear,0.1,Slippery,FAIL,122.53968253968256,-117.53968253968256,5.6,0.9933362342423641,FAIL
100,10,Moderate,Clear,0.1,Slippery,FAIL,88.33774250440918,-78.33774250440918,5.6,0.9933362342423641,FAIL
80,5,Moderate,Clear,0.1,Slippery,FAIL,59.647266313932974,-54.647266313932974,5.6,0.9933362342423641,FAIL
80,10,Moderate,Clear,0.1,Slippery,FAIL,59.647266313932974,-49.647266313932974,5.6,0.9933362342423641,FAIL
100,5,Moderate,Clear,0.1,Slippery,FAIL,88.33774250440918,-83.33774250440918,5.6,0.9933362342423641,FAIL
120,10,Moderate,Clear,0.1,Slippery,FAIL,122.53968253968256,-112.53968253968256,5.6,0.9933362342423641,FAIL
60,15,Poor,Fog,0.1,Slippery,FAIL,42.51167133520076,-27.51167133520076,4.76,0.9933149251467569,FAIL
80,5,Good,Rain,0.1,Wet,FAIL,53.67868958282901,-48.67868958282901,6.12,0.9933132927712481,FAIL
60,5,Poor,Fog,0.25,Slippery,FAIL,45.01167133520075,-40.01167133520075,4.76,0.9932616436892279,FAIL
60,10,Poor,Fog,0.25,Slippery,FAIL,45.01167133520075,-35.01167133520075,4.76,0.9932561099051741,FAIL
120,10,Moderate,Clear,0.15,Slippery,FAIL,124.20634920634924,-114.20634920634924,5.6,0.9932505287695411,FAIL
120,5,Moderate,Clear,0.15,Slippery,FAIL,124.20634920634924,-119.20634920634924,5.6,0.9932505287695411,FAIL
80,5,Moderate,Clear,0.15,Slippery,FAIL,60.75837742504409,-55.75837742504409,5.6,0.9932505287695411,FAIL
80,10,Moderate,Clear,0.15,Slippery,FAIL,60.75837742504409,-50.75837742504409,5.6,0.9932505287695411,FAIL
100,10,Moderate,Clear,0.15,Slippery,FAIL,89.72663139329808,-79.72663139329808,5.6,0.9932505287695411,FAIL
120,15,Poor,Fog,0.0,Slippery,FAIL,140.046685340803,-125.046685340803,4.76,0.9932437006517653,FAIL
80,15,Poor,Fog,0.0,Slippery,FAIL,67.4281564477643,-52.428156447764295,4.76,0.9932437006517653,FAIL
100,15,Poor,Fog,0.0,Slippery,FAIL,100.4953833385206,-85.4953833385206,4.76,0.9932437006517653,FAIL
100,5,Poor,Rain,0.25,Slippery,FAIL,102.93699784440524,-97.93699784440524,5.04,0.9932363734657026,FAIL
100,10,Poor,Rain,0.25,Slippery,FAIL,102.93699784440524,-92.93699784440524,5.04,0.9932307528163257,FAIL
120,10,Poor,Rain,0.25,Slippery,FAIL,141.89594356261026,-131.89594356261026,5.04,0.9932307528163257,FAIL
120,10,Poor,Clear,0.1,Slippery,FAIL,125.8730158730159,-115.8730158730159,5.6,0.9932256851803499,FAIL
80,5,Poor,Rain,0.25,Slippery,FAIL,70.10190084264158,-65.10190084264158,5.04,0.9932133856803823,FAIL
100,10,Moderate,Fog,0.05,Slippery,FAIL,99.10649444963173,-89.10649444963171,4.76,0.993211123559095,FAIL
80,10,Moderate,Fog,0.05,Slippery,FAIL,66.31704533665318,-56.31704533665318,4.76,0.993211123559095,FAIL
80,5,Moderate,Fog,0.05,Slippery,FAIL,66.31704533665318,-61.31704533665318,4.76,0.993211123559095,FAIL
120,10,Moderate,Fog,0.05,Slippery,FAIL,138.38001867413635,-128.38001867413635,4.76,0.993211123559095,FAIL
100,5,Moderate,Fog,0.05,Slippery,FAIL,99.10649444963173,-94.10649444963173,4.76,0.993211123559095,FAIL
100,15,Poor,Rain,0.05,Slippery,FAIL,97.38144228884973,-82.38144228884971,5.04,0.9932097716604715,FAIL
120,15,Poor,Rain,0.05,Slippery,FAIL,135.2292768959436,-120.2292768959436,5.04,0.9932097716604715,FAIL
80,15,Poor,Rain,0.05,Slippery,FAIL,65.65745639819713,-50.65745639819713,5.04,0.9932097716604715,FAIL
80,10,Poor,Rain,0.25,Slippery,FAIL,70.10190084264158,-60.101900842641584,5.04,0.9932077650310054,FAIL
60,10,Moderate,Fog,0.15,Slippery,FAIL,41.67833800186742,-31.678338001867417,4.76,0.9931711898172108,FAIL
60,5,Moderate,Fog,0.15,Slippery,FAIL,41.67833800186742,-36.67833800186742,4.76,0.9931711898172108,FAIL
100,5,Poor,Clear,0.1,Slippery,FAIL,91.11552028218696,-86.11552028218696,5.6,0.9931665415556521,FAIL
80,5,Poor,Clear,0.1,Slippery,FAIL,61.8694885361552,-56.8694885361552,5.6,0.9931665415556521,FAIL
80,10,Poor,Clear,0.1,Slippery,FAIL,61.8694885361552,-51.8694885361552,5.6,0.9931599987355811,FAIL
100,10,Poor,Clear,0.1,Slippery,FAIL,91.11552028218696,-81.11552028218696,5.6,0.9931599987355811,FAIL
120,5,Good,Rain,0.15,Wet,FAIL,112.44371822803195,-107.44371822803195,6.12,0.9931572196093127,FAIL
120,5,Poor,Clear,0.15,Slippery,FAIL,127.53968253968256,-122.53968253968256,5.6,0.9931320501733222,FAIL
100,5,Good,Rain,0.15,Wet,FAIL,81.09517469539256,-76.09517469539256,6.12,0.9931287294659601,FAIL
120,10,Good,Rain,0.15,Wet,FAIL,112.44371822803195,-102.44371822803195,6.12,0.9931281102713566,FAIL
120,10,Poor,Clear,0.15,Slippery,FAIL,127.53968253968256,-117.53968253968256,5.6,0.9931256567537879,FAIL
100,5,Moderate,Rain,0.1,Slippery,FAIL,95.9925533999608,-90.9925533999608,5.04,0.9931219960568092,FAIL
80,10,Moderate,Rain,0.1,Slippery,FAIL,64.54634528708603,-54.54634528708603,5.04,0.9931219960568092,FAIL
120,5,Moderate,Rain,0.1,Slippery,FAIL,133.5626102292769,-128.5626102292769,5.04,0.9931219960568092,FAIL
100,10,Moderate,Rain,0.1,Slippery,FAIL,95.9925533999608,-85.99255339996081,5.04,0.9931219960568092,FAIL
120,10,Moderate,Rain,0.1,Slippery,FAIL,133.5626102292769,-123.56261022927691,5.04,0.9931219960568092,FAIL
100,10,Good,Rain,0.15,Wet,FAIL,81.09517469539256,-71.09517469539256,6.12,0.9930992635501094,FAIL
100,15,Poor,Rain,0.25,Slippery,FAIL,102.93699784440524,-87.93699784440525,5.04,0.9930820789886864,FAIL
120,15,Poor,Rain,0.25,Slippery,FAIL,141.89594356261026,-126.89594356261026,5.04,0.9930820789886864,FAIL
100,5,Poor,Clear,0.15,Slippery,FAIL,92.50440917107584,-87.50440917107585,5.6,0.9930645930551754,FAIL
80,5,Good,Rain,0.15,Wet,FAIL,54.78980069394012,-49.78980069394012,6.12,0.9930640963696856,FAIL
100,10,Moderate,Fog,0.25,Slippery,FAIL,104.66205000518728,-94.66205000518728,4.76,0.9930623732426748,FAIL
100,5,Moderate,Fog,0.25,Slippery,FAIL,104.66205000518728,-99.66205000518728,4.76,0.9930623732426748,FAIL
80,5,Moderate,Fog,0.25,Slippery,FAIL,70.76148978109762,-65.76148978109762,4.76,0.9930623732426748,FAIL
80,10,Moderate,Fog,0.25,Slippery,FAIL,70.76148978109762,-60.76148978109762,4.76,0.9930623732426748,FAIL
120,5,Moderate,Fog,0.25,Slippery,FAIL,145.046685340803,-140.046685340803,4.76,0.9930623732426748,FAIL
120,10,Moderate,Fog,0.25,Slippery,FAIL,145.046685340803,-135.046685340803,4.76,0.9930623732426748,FAIL
80,15,Poor,Rain,0.25,Slippery,FAIL,70.10190084264158,-55.101900842641584,5.04,0.9930588035308026,FAIL
100,10,Poor,Clear,0.15,Slippery,FAIL,92.50440917107584,-82.50440917107585,5.6,0.9930580737442172,FAIL
80,10,Poor,Clear,0.15,Slippery,FAIL,62.98059964726632,-52.98059964726632,5.6,0.9930580737442172,FAIL
120,15,Poor,Fog,0.25,Slippery,FAIL,148.38001867413635,-133.38001867413635,4.76,0.9930552410667953,FAIL
80,15,Poor,Fog,0.25,Slippery,FAIL,72.98371200331985,-57.98371200331985,4.76,0.9930552410667953,FAIL
100,15,Poor,Fog,0.25,Slippery,FAIL,107.43982778296504,-92.43982778296504,4.76,0.9930552410667953,FAIL
80,5,Moderate,Rain,0.15,Slippery,FAIL,65.65745639819713,-60.65745639819713,5.04,0.993034901192944,FAIL
80,10,Moderate,Rain,0.15,Slippery,FAIL,65.65745639819713,-55.65745639819713,5.04,0.993034901192944,FAIL
120,10,Moderate,Rain,0.15,Slippery,FAIL,135.2292768959436,-125.2292768959436,5.04,0.993034901192944,FAIL
100,10,Moderate,Rain,0.15,Slippery,FAIL,97.38144228884973,-87.38144228884971,5.04,0.993034901192944,FAIL
120,5,Moderate,Rain,0.15,Slippery,FAIL,135.2292768959436,-130.2292768959436,5.04,0.993034901192944,FAIL
100,5,Moderate,Rain,0.15,Slippery,FAIL,97.38144228884973,-92.38144228884973,5.04,0.993034901192944,FAIL
80,10,Good,Rain,0.15,Wet,FAIL,54.78980069394012,-44.78980069394012,6.12,0.9930341629988296,FAIL
60,15,Poor,Fog,0.05,Slippery,FAIL,41.67833800186742,-26.678338001867417,4.76,0.9930234762962534,FAIL
60,5,Poor,Rain,0.1,Slippery,FAIL,40.89065255731923,-35.89065255731923,5.04,0.9929785668051953,FAIL
60,10,Poor,Rain,0.1,Slippery,FAIL,40.89065255731923,-30.89065255731923,5.04,0.9929727233321433,FAIL
60,10,Poor,Rain,0.05,Slippery,FAIL,40.0573192239859,-30.0573192239859,5.04,0.9929422253399448,FAIL
80,5,Moderate,Clear,0.05,Slippery,FAIL,58.53615520282187,-53.53615520282187,5.6,0.9929396650676725,FAIL
120,5,Moderate,Clear,0.05,Slippery,FAIL,120.8730158730159,-115.8730158730159,5.6,0.9929396650676725,FAIL
100,10,Moderate,Clear,0.05,Slippery,FAIL,86.94885361552029,-76.94885361552029,5.6,0.9929396650676725,FAIL
120,10,Moderate,Clear,0.05,Slippery,FAIL,120.8730158730159,-110.8730158730159,5.6,0.9929396650676725,FAIL
80,10,Moderate,Clear,0.05,Slippery,FAIL,58.53615520282187,-48.53615520282187,5.6,0.9929396650676725,FAIL
120,15,Moderate,Fog,0.1,Slippery,FAIL,140.046685340803,-125.046685340803,4.76,0.9929141102176582,FAIL
80,15,Moderate,Fog,0.1,Slippery,FAIL,67.4281564477643,-52.428156447764295,4.76,0.9929141102176582,FAIL
100,15,Moderate,Fog,0.1,Slippery,FAIL,100.4953833385206,-85.4953833385206,4.76,0.9929141102176582,FAIL
120,10,Poor,Fog,0.25,Dry,FAIL,113.36601307189544,-103.36601307189544,6.8,0.9929050453893021,FAIL
100,10,Poor,Fog,0.25,Dry,FAIL,83.1245461147422,-73.1245461147422,6.8,0.9929050453893021,FAIL
100,5,Poor,Fog,0.25,Dry,FAIL,83.1245461147422,-78.1245461147422,6.8,0.9929050453893021,FAIL
120,5,Poor,Fog,0.25,Dry,FAIL,113.36601307189544,-108.36601307189544,6.8,0.9929050453893021,FAIL
120,10,Good,Rain,0.15,Slippery,FAIL,131.89594356261026,-121.89594356261026,5.04,0.9928992199384012,FAIL
120,5,Good,Rain,0.15,Slippery,FAIL,131.89594356261026,-126.89594356261026,5.04,0.9928992199384012,FAIL
120,15,Poor,Rain,0.0,Slippery,FAIL,133.5626102292769,-118.56261022927691,5.04,0.992894615048726,FAIL
100,15,Poor,Rain,0.0,Slippery,FAIL,95.9925533999608,-80.99255339996081,5.04,0.992894615048726,FAIL
80,15,Poor,Rain,0.0,Slippery,FAIL,64.54634528708603,-49.54634528708603,5.04,0.992894615048726,FAIL
120,5,Poor,Clear,0.05,Slippery,FAIL,124.20634920634924,-119.20634920634924,5.6,0.9928821715849938,FAIL
120,10,Poor,Clear,0.05,Slippery,FAIL,124.20634920634924,-114.20634920634924,5.6,0.9928752133451623,FAIL
100,10,Good,Rain,0.15,Slippery,FAIL,94.60366451107193,-84.60366451107193,5.04,0.9928729948702918,FAIL
80,10,Poor,Fog,0.25,Dry,FAIL,57.421931735657225,-47.421931735657225,6.8,0.9928722608741236,FAIL
60,15,Moderate,Fog,0.15,Slippery,FAIL,41.67833800186742,-26.678338001867417,4.76,0.9928527704546697,FAIL
100,15,Moderate,Rain,0.15,Slippery,FAIL,97.38144228884973,-82.38144228884971,5.04,0.9928455336680647,FAIL
80,15,Moderate,Rain,0.15,Slippery,FAIL,65.65745639819713,-50.65745639819713,5.04,0.9928455336680647,FAIL
120,15,Moderate,Rain,0.15,Slippery,FAIL,135.2292768959436,-120.2292768959436,5.04,0.9928455336680647,FAIL
120,5,Good,Rain,0.1,Slippery,FAIL,130.2292768959436,-125.2292768959436,5.04,0.9928235600599737,FAIL
120,10,Good,Rain,0.1,Slippery,FAIL,130.2292768959436,-120.2292768959436,5.04,0.9928235600599737,FAIL
100,10,Poor,Fog,0.15,Dry,FAIL,80.34676833696443,-70.34676833696443,6.8,0.9928230933432195,FAIL
120,10,Poor,Fog,0.15,Dry,FAIL,110.03267973856212,-100.03267973856212,6.8,0.9928230933432195,FAIL
120,5,Poor,Fog,0.15,Dry,FAIL,110.03267973856212,-105.03267973856212,6.8,0.9928230933432195,FAIL
100,5,Poor,Fog,0.15,Dry,FAIL,80.34676833696443,-75.34676833696443,6.8,0.9928230933432195,FAIL
100,5,Poor,Clear,0.05,Slippery,FAIL,89.72663139329808,-84.72663139329808,5.6,0.9928118674642932,FAIL
60,15,Poor,Fog,0.25,Slippery,FAIL,45.01167133520075,-30.011671335200752,4.76,0.9928095839522632,FAIL
100,15,Moderate,Rain,0.1,Slippery,FAIL,95.9925533999608,-80.99255339996081,5.04,0.9928094346344032,FAIL
80,15,Moderate,Rain,0.1,Slippery,FAIL,64.54634528708603,-49.54634528708603,5.04,0.9928094346344032,FAIL
120,15,Moderate,Rain,0.1,Slippery,FAIL,133.5626102292769,-118.56261022927691,5.04,0.9928094346344032,FAIL
80,10,Poor,Clear,0.05,Slippery,FAIL,60.75837742504409,-50.75837742504409,5.6,0.9928047723962197,FAIL
100,10,Poor,Clear,0.05,Slippery,FAIL,89.72663139329808,-79.72663139329808,5.6,0.9928047723962197,FAIL
100,10,Good,Rain,0.1,Slippery,FAIL,93.21477562218304,-83.21477562218304,5.04,0.9927938896013376,FAIL
100,5,Good,Rain,0.1,Slippery,FAIL,93.21477562218304,-88.21477562218304,5.04,0.9927938896013376,FAIL
80,5,Good,Rain,0.15,Slippery,FAIL,63.43523417597491,-58.43523417597491,5.04,0.9927909615296333,FAIL
80,10,Poor,Fog,0.15,Dry,FAIL,55.199709513435,-45.199709513435,6.8,0.9927902781657627,FAIL
60,15,Poor,Fog,0.0,Slippery,FAIL,40.84500466853409,-25.845004668534088,4.76,0.9927738015573269,FAIL
80,15,Moderate,Fog,0.25,Slippery,FAIL,70.76148978109762,-55.76148978109762,4.76,0.9927504491755077,FAIL
100,15,Moderate,Fog,0.25,Slippery,FAIL,104.66205000518728,-89.66205000518727,4.76,0.9927504491755077,FAIL
120,15,Moderate,Fog,0.25,Slippery,FAIL,145.046685340803,-130.046685340803,4.76,0.9927504491755077,FAIL
120,5,Poor,Rain,0.1,Dry,FAIL,103.82716049382718,-98.82716049382718,7.2,0.9927299580931269,FAIL
120,10,Poor,Rain,0.1,Dry,FAIL,103.82716049382718,-93.82716049382718,7.2,0.9927299580931269,FAIL
100,5,Poor,Rain,0.1,Dry,FAIL,75.80589849108368,-70.80589849108368,7.2,0.9927299580931269,FAIL
100,10,Poor,Rain,0.1,Dry,FAIL,75.80589849108368,-65.80589849108368,7.2,0.9927299580931269,FAIL
80,5,Good,Rain,0.1,Slippery,FAIL,62.3241230648638,-57.3241230648638,5.04,0.9927105995493977,FAIL
80,10,Good,Rain,0.1,Slippery,FAIL,62.3241230648638,-52.3241230648638,5.04,0.9927105995493977,FAIL
60,15,Poor,Rain,0.1,Slippery,FAIL,40.89065255731923,-25.89065255731923,5.04,0.9926863402758336,FAIL
60,10,Moderate,Fog,0.25,Slippery,FAIL,43.34500466853409,-33.34500466853409,4.76,0.9926767165467248,FAIL
120,15,Good,Rain,0.1,Wet,FAIL,110.7770515613653,-95.7770515613653,6.12,0.9926511098903001,FAIL
100,15,Good,Rain,0.1,Wet,FAIL,79.70628580650367,-64.70628580650367,6.12,0.9926176436374481,FAIL
60,5,Poor,Rain,0.15,Slippery,FAIL,41.72398589065256,-36.72398589065256,5.04,0.9926105987520073,FAIL
60,10,Poor,Rain,0.15,Slippery,FAIL,41.72398589065256,-31.723985890652564,5.04,0.9926046359966604,FAIL
120,5,Moderate,Rain,0.05,Slippery,FAIL,131.89594356261026,-126.89594356261026,5.04,0.9925953559722152,FAIL
80,5,Moderate,Rain,0.05,Slippery,FAIL,63.43523417597491,-58.43523417597491,5.04,0.9925953559722152,FAIL
100,10,Moderate,Rain,0.05,Slippery,FAIL,94.60366451107193,-84.60366451107193,5.04,0.9925953559722152,FAIL
100,5,Moderate,Rain,0.05,Slippery,FAIL,94.60366451107193,-89.60366451107193,5.04,0.9925953559722152,FAIL
80,10,Moderate,Rain,0.05,Slippery,FAIL,63.43523417597491,-53.43523417597491,5.04,0.9925953559722152,FAIL
